NDVI,EVI,sm_surface,LST_Day_1km,Relative_Humidity,uWindSpeed_10m,vWindSpeed_10m,precipitation,elevation,longitude,latitude,label
0.13650264,0.084526925,0.085056804,37.17466348113379,1.2882493729774765E300,-0.4616787,0.089272294,1560.8158585043618,721,40.44264816446713,11.504589096426095,1
0.38582245,0.2300006775810066,0.15993111,32.89469191625693,5.085001878957344E299,-0.790595171,0.7026940958195249,2061.585706584561,1615,38.14278137406433,4.888227534300583,1
0.5534196,0.3144834510703912,0.1631701,33.27652522746576,5.415471449126372E299,-0.801022118,0.6855974216483037,2091.1156668745302,2034,38.05923805264121,4.888227534300583,1
0.3887944,0.23303623569999357,0.19469133,33.90230534,4.962854311198284E299,-0.684354416,0.4277323065169659,2438.8028043077456,892,37.66362000151498,5.114602985898702,1
0.16995592,0.10233513313950807,0.12135802,34.247991410604286,9.409833661120555E299,-1.194820993,1.5935676677562436,1483.4534504861015,1409,38.92835809002685,4.137685114418723,1
0.2566829,0.16273471754466315,0.1710547,33.00524597105411,5.451364917820523E299,-0.732332697,0.5889629851317584,2192.4416390469087,1643,38.01531043524777,4.989288003764028,1
0.39997566,0.24347006803555377,0.16908629,33.096315342614155,5.4696464226371884E299,-0.751135733,0.6137930368887236,2166.685524141365,1742,38.02312577821961,4.962338545240443,1
0.5179022,0.2290962205524184,0.15094793,33.616233059737446,4.889811227297067E299,-0.907093986,0.8440854363527315,1932.2035456958408,1675,38.13981693362673,4.730034212767134,1
0.42993632,0.2893948044533257,0.090810545,38.08563928983833,1.2001472502416797E300,-0.396339586,-0.033518009,1660.5830109042358,669,40.39845105248845,11.27147628019708,1
0.42993632,0.2893948044533257,0.090810545,38.08563928983833,1.2001472502416797E300,-0.396339586,-0.033518009,1660.5830109042358,669,40.39845105248845,11.27147628019708,1
0.2488902,0.13044339435782804,0.1621653,33.10540820912916,5.2867178319888486E299,-0.793555701,0.6882667200736454,2083.3145406925555,1731,38.09211639203998,4.892808942249593,1
0.15127702,0.11042452093604298,0.091954276,36.135379101409704,4.056998065766132E300,0.6255020392354881,1.9769055326622478,1007.6670525501662,834,43.735063512293586,7.777478983,1
0.5019455,0.28048038917604134,0.1106568,36.37597902263239,1.0828753172647762E300,-0.448741066,0.015006732550304144,1781.6951439968625,862,39.986663326248056,12.14814216596932,1
0.18278092,0.11527835480504414,0.13305071,31.820248567154024,5.979764208451518E299,-0.520994563,0.1910960692695423,1925.472803117251,1565,39.56328733284253,12.423296137495129,1
0.18389504,0.10603591191019514,0.11435036,35.764736577553286,1.0369843178383201E300,-0.466423358,0.035644510244426525,1751.0247600479108,968,39.903658993995414,12.286123393610078,1
0.18389504,0.10603591191019514,0.11435036,35.764736577553286,1.0369843178383201E300,-0.466423358,0.035644510244426525,1751.0247600479108,968,39.903658993995414,12.286123393610078,1
0.26789108,0.16336417279813503,0.11095859,36.31213567364208,1.075021672732483E300,-0.448652928,0.016676510991462057,1789.065354494459,861,39.982351412884285,12.14490823094649,1
0.26789108,0.16336417279813503,0.11095859,36.31213567364208,1.075021672732483E300,-0.448652928,0.016676510991462057,1789.065354494459,861,39.982351412884285,12.14490823094649,1
0.27515468,0.15172413793103448,0.112400666,36.01371963468352,1.039149481465716E300,-0.448555706,0.024300988581631003,1821.4673281845298,878,39.96106134065065,12.134128447537055,1
0.43467543,0.27987443566591425,0.110993564,36.29492125294421,1.0714846470650519E300,-0.447920567,0.017177123,1795.2131689018743,862,39.98315989663999,12.136284404218943,1
0.43467543,0.27987443566591425,0.110993564,36.29492125294421,1.0714846470650519E300,-0.447920567,0.017177123,1795.2131689018743,862,39.98315989663999,12.136284404218943,1
0.43467543,0.27987443566591425,0.110993564,36.29492125294421,1.0714846470650519E300,-0.447920567,0.017177123,1795.2131689018743,862,39.98315989663999,12.136284404218943,1
0.43467543,0.27987443566591425,0.110993564,36.29492125294421,1.0714846470650519E300,-0.447920567,0.017177123,1795.2131689018743,862,39.98315989663999,12.136284404218943,1
0.43467543,0.27987443566591425,0.110993564,36.29492125294421,1.0714846470650519E300,-0.447920567,0.017177123,1795.2131689018743,862,39.98315989663999,12.136284404218943,1
0.43467543,0.27987443566591425,0.110993564,36.29492125294421,1.0714846470650519E300,-0.447920567,0.017177123,1795.2131689018743,862,39.98315989663999,12.136284404218943,1
0.2740516,0.1524428535543833,0.118922606,31.87735030995754,1.6691477100757264E300,0.22042827198721027,0.8914498787065754,1698.84706,1283,40.01388227935688,5.201110747759412,1
0.26920477,0.15293846626395002,0.07592944,38.28576763101741,3.7013502846241736E300,0.621927304,2.173043501,751.4578548767695,477,46.00232145788284,6.926684577024601,1
0.12603545,0.087756625,0.095999494,37.68175326713678,5.021377182458933E299,-0.594719005,-0.22584963,1327.361296413857,1184,39.86431278455098,13.286217799420342,1
0.12603545,0.087756625,0.095999494,37.68175326713678,5.021377182458933E299,-0.594719005,-0.22584963,1327.361296413857,1184,39.86431278455098,13.286217799420342,1
0.12603545,0.087756625,0.095999494,37.68175326713678,5.021377182458933E299,-0.594719005,-0.22584963,1327.361296413857,1184,39.86431278455098,13.286217799420342,1
0.12603545,0.087756625,0.095999494,37.68175326713678,5.021377182458933E299,-0.594719005,-0.22584963,1327.361296413857,1184,39.86431278455098,13.286217799420342,1
0.12603545,0.087756625,0.095999494,37.68175326713678,5.021377182458933E299,-0.594719005,-0.22584963,1327.361296413857,1184,39.86431278455098,13.286217799420342,1
